human_input	human_symbol	human_gene_id	input_match	zebrafish_symbol	zebrafish_gene_id	relationship	n_zebrafish_orthologs	status
PRKD1	PRKD1	5587	official_symbol	prkd1	557123	Ortholog	1	mapped
REM1	REM1	28954	official_symbol				0	no_zebrafish_ortholog
SCN4A	SCN4A	6329	official_symbol				0	no_zebrafish_ortholog
SLC8A3	SLC8A3	6547	official_symbol	slc8a3	560561	Ortholog	1	mapped
STRIT1	STRIT1	100507537	official_symbol				0	no_zebrafish_ortholog
FBXO22	FBXO22	26263	official_symbol	fbxo22	556909	Ortholog	1	mapped
HDAC9	HDAC9	9734	official_symbol				0	no_zebrafish_ortholog
CDON	CDON	50937	official_symbol	cdon	280652	Ortholog	1	mapped
CTNNB1	CTNNB1	1499	official_symbol				0	no_zebrafish_ortholog
MEGF10	MEGF10	84466	official_symbol	megf10	564571	Ortholog	1	mapped
PRKAA1	PRKAA1	5562	official_symbol	prkaa1	100001198	Ortholog	1	mapped
TGFB1	TGFB1	7040	official_symbol				0	no_zebrafish_ortholog
TWIST1	TWIST1	7291	official_symbol	twist1a	30175	Ortholog	1	mapped
USP19	USP19	10869	official_symbol	usp19	324335	Ortholog	1	mapped
WNT10B	WNT10B	7480	official_symbol	wnt10b	30308	Ortholog	1	mapped
WNT3A	WNT3A	89780	official_symbol	wnt3a	60632	Ortholog	1	mapped
YBX3	YBX3	8531	official_symbol				0	no_zebrafish_ortholog
TLL2	TLL2	7093	official_symbol				0	no_zebrafish_ortholog
GJD4	GJD4	219770	official_symbol	gjd4	795763	Ortholog	1	mapped
MYOZ1	MYOZ1	58529	official_symbol	myoz1a	572909	Ortholog	1	mapped
P2RX5	P2RX5	5026	official_symbol				0	no_zebrafish_ortholog
SPAAR	SPAAR	158376	official_symbol				0	no_zebrafish_ortholog
KPNA1	KPNA1	3836	official_symbol	kpna1	572542	Ortholog	1	mapped
XIRP1	XIRP1	165904	official_symbol	xirp1	497637	Ortholog	1	mapped
COLQ	COLQ	8292	official_symbol	colq	101886065	Ortholog	1	mapped
DNAJA3	DNAJA3	9093	official_symbol	dnaja3a	335894	Ortholog	1	mapped
DVL1	DVL1	1855	official_symbol				0	no_zebrafish_ortholog
ETV5	ETV5	2119	official_symbol	etv5a	337626	Ortholog	1	mapped
FNTA	FNTA	2339	official_symbol	fnta	555882	Ortholog	1	mapped
MUSK	MUSK	4593	official_symbol	musk	334526	Ortholog	1	mapped
RAPSN	RAPSN	5913	official_symbol	rapsn	352942	Ortholog	1	mapped
RER1	RER1	11079	official_symbol	rer1	393648	Ortholog	1	mapped
ASB2	ASB2	51676	official_symbol				0	no_zebrafish_ortholog
MYOC	MYOC	4653	official_symbol	myoc	548602	Ortholog	1	mapped
MYOZ2	MYOZ2	51778	official_symbol	myoz2b	393828	Ortholog	1	mapped
TRIM63	TRIM63	84676	official_symbol				0	no_zebrafish_ortholog
ANKRD1	ANKRD1	27063	official_symbol				0	no_zebrafish_ortholog
ANKRD33	ANKRD33	341405	official_symbol				0	no_zebrafish_ortholog
ATF3	ATF3	467	official_symbol	atf3	393939	Ortholog	1	mapped
B4GALNT2	B4GALNT2	124872	official_symbol				0	no_zebrafish_ortholog
BCL9L	BCL9L	283149	official_symbol	bcl9l	449532	Ortholog	1	mapped
BTG2	BTG2	7832	official_symbol	btg2	30079	Ortholog	1	mapped
CITED2	CITED2	10370	official_symbol	cited2	450024	Ortholog	1	mapped
COL6A1	COL6A1	1291	official_symbol	col6a1	569755	Ortholog	1	mapped
COPS2	COPS2	9318	official_symbol	cops2	415145	Ortholog	1	mapped
DMRTA2	DMRTA2	63950	official_symbol	dmrta2	474350	Ortholog	1	mapped
EEF2	EEF2	1938	official_symbol				0	no_zebrafish_ortholog
EGR1	EGR1	1958	official_symbol	egr1	30498	Ortholog	1	mapped
EGR2	EGR2	1959	official_symbol	egr2b	30190	Ortholog	1	mapped
EMD	EMD	2010	official_symbol				0	no_zebrafish_ortholog
EOMES	EOMES	8320	official_symbol	eomesb	799447	Ortholog	1	mapped
FKRP	FKRP	79147	official_symbol	fkrp	571426	Ortholog	1	mapped
FKTN	FKTN	2218	official_symbol	fktn	100006345	Ortholog	1	mapped
FOS	FOS	2353	official_symbol	fosab	394198	Ortholog	1	mapped
FOXN2	FOXN2	3344	official_symbol				0	no_zebrafish_ortholog
GTF3C5	GTF3C5	9328	official_symbol	gtf3c5	565198	Ortholog	1	mapped
HEYL	HEYL	26508	official_symbol	heyl	335134	Ortholog	1	mapped
HIVEP3	HIVEP3	59269	official_symbol				0	no_zebrafish_ortholog
HLF	HLF	3131	official_symbol	hlfa	768192	Ortholog	1	mapped
HMG20B	HMG20B	10362	official_symbol	hmg20b	553572	Ortholog	1	mapped
KLHL40	KLHL40	131377	official_symbol				0	no_zebrafish_ortholog
LEMD2	LEMD2	221496	official_symbol				0	no_zebrafish_ortholog
MAFF	MAFF	23764	official_symbol				0	no_zebrafish_ortholog
MED20	MED20	9477	official_symbol	med20	445191	Ortholog	1	mapped
MYC	MYC	4609	official_symbol				0	no_zebrafish_ortholog
MYLK2	MYLK2	85366	official_symbol				0	no_zebrafish_ortholog
NOTCH1	NOTCH1	4851	official_symbol	notch1b	794892	Ortholog	1	mapped
NR4A1	NR4A1	3164	official_symbol				0	no_zebrafish_ortholog
NUPR1	NUPR1	26471	official_symbol	nupr1b	799637	Ortholog	1	mapped
PAX5	PAX5	5079	official_symbol	pax5	60636	Ortholog	1	mapped
PAX7	PAX7	5081	official_symbol				0	no_zebrafish_ortholog
PHOX2B	PHOX2B	8929	official_symbol				0	no_zebrafish_ortholog
PPIF	PPIF	10105	official_symbol				0	no_zebrafish_ortholog
RB1	RB1	5925	official_symbol	rb1	777733	Ortholog	1	mapped
SAP30	SAP30	8819	official_symbol				0	no_zebrafish_ortholog
SCX	SCX	642658	official_symbol	scxa	100034489	Ortholog	1	mapped
SMYD1	SMYD1	150572	official_symbol				0	no_zebrafish_ortholog
SOX11	SOX11	6664	official_symbol	sox11a	30602	Ortholog	1	mapped
SOX8	SOX8	30812	official_symbol				0	no_zebrafish_ortholog
VAX1	VAX1	11023	official_symbol	vax1	373870	Ortholog	1	mapped
DSN1	DSN1	79980	official_symbol	dsn1	100002916	Ortholog	1	mapped
NDC80	NDC80	10403	official_symbol	ndc80	445386	Ortholog	1	mapped
SUGT1	SUGT1	10910	official_symbol	sugt1	492489	Ortholog	1	mapped
ATP8A2	ATP8A2	51761	official_symbol	atp8a2	100330943	Ortholog	1	mapped
CA3	CA3	761	official_symbol				0	no_zebrafish_ortholog
CCDC78	CCDC78	124093	official_symbol	ccdc78	100150366	Ortholog	1	mapped
CHRNA1	CHRNA1	1134	official_symbol	chrna1	30725	Ortholog	1	mapped
CHRNB1	CHRNB1	1140	official_symbol	chrnb1	100006941	Ortholog	1	mapped
CHRND	CHRND	1144	official_symbol	chrnd	404273	Ortholog	1	mapped
CHRNE	CHRNE	1145	official_symbol				0	no_zebrafish_ortholog
CHRNG	CHRNG	1146	official_symbol				0	no_zebrafish_ortholog
DDIT3	DDIT3	1649	official_symbol	ddit3	561924	Ortholog	1	mapped
GAA	GAA	2548	official_symbol	gaa	100002366	Ortholog	1	mapped
HOMER1	HOMER1	9456	official_symbol				0	no_zebrafish_ortholog
HSP90AA1	HSP90AA1	3320	official_symbol				0	no_zebrafish_ortholog
JSRP1	JSRP1	126306	official_symbol				0	no_zebrafish_ortholog
MB	MB	4151	official_symbol	mb	393558	Ortholog	1	mapped
MYH14	MYH14	79784	official_symbol				0	no_zebrafish_ortholog
MYH3	MYH3	4621	official_symbol				0	no_zebrafish_ortholog
MYH8	MYH8	4626	official_symbol				0	no_zebrafish_ortholog
PVALEF	PVALEF	388428	official_symbol				0	no_zebrafish_ortholog
RCSD1	RCSD1	92241	official_symbol				0	no_zebrafish_ortholog
STAC	STAC	6769	official_symbol	stac	100005402	Ortholog	1	mapped
STAC2	STAC2	342667	official_symbol				0	no_zebrafish_ortholog
STAC3	STAC3	246329	official_symbol	stac3	445111	Ortholog	1	mapped
SYNM	SYNM	23336	official_symbol	synm	558800	Ortholog	1	mapped
TCAP	TCAP	8557	official_symbol				0	no_zebrafish_ortholog
TNF	TNF	7124	official_symbol				0	no_zebrafish_ortholog
TNNC2	TNNC2	7125	official_symbol				0	no_zebrafish_ortholog
TNNI2	TNNI2	7136	official_symbol				0	no_zebrafish_ortholog
TNNI3	TNNI3	7137	official_symbol				0	no_zebrafish_ortholog
TNNT3	TNNT3	7140	official_symbol	tnnt3b	100003572	Ortholog	1	mapped
TTN	TTN	7273	official_symbol				0	no_zebrafish_ortholog
ABCC9	ABCC9	10060	official_symbol	abcc9	561160	Ortholog	1	mapped
ACTA1	ACTA1	58	official_symbol	acta1b	407658	Ortholog	1	mapped
ARRDC2	ARRDC2	27106	official_symbol	arrdc2	335206	Ortholog	1	mapped
ASNSD1	ASNSD1	54529	official_symbol	asnsd1	368827	Ortholog	1	mapped
ASS1	ASS1	445	official_symbol	ass1	447864	Ortholog	1	mapped
BASP1	BASP1	10409	official_symbol	basp1	569631	Ortholog	1	mapped
BIN3	BIN3	55909	official_symbol	bin3	323976	Ortholog	1	mapped
CAV1	CAV1	857	official_symbol	cav1	323695	Ortholog	1	mapped
CAV2	CAV2	858	official_symbol	cav2	415240	Ortholog	1	mapped
CCNT2	CCNT2	905	official_symbol				0	no_zebrafish_ortholog
CDK5	CDK5	1020	official_symbol	cdk5	65234	Ortholog	1	mapped
CFL2	CFL2	1073	official_symbol	cfl2	403001	Ortholog	1	mapped
CNTFR	CNTFR	1271	official_symbol	cntfr	368438	Ortholog	1	mapped
CNTNAP1	CNTNAP1	8506	official_symbol	cntnap1	566220	Ortholog	1	mapped
COL19A1	COL19A1	1310	official_symbol	col19a1	571468	Ortholog	1	mapped
CSRP3	CSRP3	8048	official_symbol	csrp3	450005	Ortholog	1	mapped
DES	DES	1674	official_symbol				0	no_zebrafish_ortholog
DISP1	DISP1	84976	official_symbol	disp1	619201	Ortholog	1	mapped
DNER	DNER	92737	official_symbol	dner	100332110	Ortholog	1	mapped
ELN	ELN	2006	official_symbol	elna	790915	Ortholog	1	mapped
EP300	EP300	2033	official_symbol				0	no_zebrafish_ortholog
ERO1A	ERO1A	30001	official_symbol	ero1a	393321	Ortholog	1	mapped
FER1L6	FER1L6	654463	official_symbol	fer1l6	100535460	Ortholog	1	mapped
FGFRL1	FGFRL1	53834	official_symbol	fgfrl1a	393347	Ortholog	1	mapped
FLNB	FLNB	2317	official_symbol	flnbb	563023	Ortholog	1	mapped
FOXP2	FOXP2	93986	official_symbol	foxp2	555242	Ortholog	1	mapped
FXR1	FXR1	8087	official_symbol	fxr1	327220	Ortholog	1	mapped
GMPPA	GMPPA	29926	official_symbol				0	no_zebrafish_ortholog
GPCPD1	GPCPD1	56261	official_symbol	gpcpd1	492483	Ortholog	1	mapped
GPX1	GPX1	2876	official_symbol	gpx1a	352926	Ortholog	1	mapped
HLX	HLX	3142	official_symbol	hlx1	327096	Ortholog	1	mapped
HOXD10	HOXD10	3236	official_symbol	hoxd10a	30404	Ortholog	1	mapped
HOXD9	HOXD9	3235	official_symbol	hoxd9a	30350	Ortholog	1	mapped
HSD17B1	HSD17B1	3292	official_symbol	hsd17b1	402842	Ortholog	1	mapped
IGSF8	IGSF8	93185	official_symbol	igsf8	404631	Ortholog	1	mapped
KEL	KEL	3792	official_symbol				0	no_zebrafish_ortholog
MAPK14	MAPK14	1432	official_symbol				0	no_zebrafish_ortholog
MEOX2	MEOX2	4223	official_symbol	meox2a	556898	Ortholog	1	mapped
METTL21C	METTL21C	196541	official_symbol				0	no_zebrafish_ortholog
MSC	MSC	9242	official_symbol	msc	556396	Ortholog	1	mapped
MYL11	MYL11	29895	official_symbol				0	no_zebrafish_ortholog
MYL3	MYL3	4634	official_symbol				0	no_zebrafish_ortholog
MYL6	MYL6	4637	official_symbol				0	no_zebrafish_ortholog
MYL6B	MYL6B	140465	official_symbol				0	no_zebrafish_ortholog
MYORG	MYORG	57462	official_symbol	myorg	100537539	Ortholog	1	mapped
NEGR1	NEGR1	257194	official_symbol	negr1	445374	Ortholog	1	mapped
NEURL1	NEURL1	9148	official_symbol	neurl1aa	561943	Ortholog	1	mapped
NF1	NF1	4763	official_symbol				0	no_zebrafish_ortholog
NPHS1	NPHS1	4868	official_symbol	nphs1	692352	Ortholog	1	mapped
NR2F2	NR2F2	7026	official_symbol	nr2f2	30424	Ortholog	1	mapped
P2RX2	P2RX2	22953	official_symbol				0	no_zebrafish_ortholog
PITX1	PITX1	5307	official_symbol	pitx1	678598	Ortholog	1	mapped
PLEC	PLEC	5339	official_symbol	pleca	567639	Ortholog	1	mapped
POPDC1	POPDC1	11149	official_symbol	popdc1	415107	Ortholog	1	mapped
POPDC2	POPDC2	64091	official_symbol	popdc2	793666	Ortholog	1	mapped
POPDC3	POPDC3	64208	official_symbol	popdc3	415108	Ortholog	1	mapped
PPP3CB	PPP3CB	5532	official_symbol				0	no_zebrafish_ortholog
RCAN1	RCAN1	1827	official_symbol				0	no_zebrafish_ortholog
RHOA	RHOA	387	official_symbol				0	no_zebrafish_ortholog
RTL1	RTL1	388015	official_symbol				0	no_zebrafish_ortholog
RYR1	RYR1	6261	official_symbol				0	no_zebrafish_ortholog
SCN11A	SCN11A	11280	official_symbol				0	no_zebrafish_ortholog
SKI	SKI	6497	official_symbol				0	no_zebrafish_ortholog
SKIL	SKIL	6498	official_symbol	skilb	100170835	Ortholog	1	mapped
SMO	SMO	6608	official_symbol	smo	30225	Ortholog	1	mapped
SPG11	SPG11	80208	official_symbol	spg11	793551	Ortholog	1	mapped
SRPK3	SRPK3	26576	official_symbol				0	no_zebrafish_ortholog
STRA6	STRA6	64220	official_symbol	stra6	724007	Ortholog	1	mapped
SVIL	SVIL	6840	official_symbol	svila	30112	Ortholog	1	mapped
TCF21	TCF21	6943	official_symbol	tcf21	558148	Ortholog	1	mapped
VAMP5	VAMP5	10791	official_symbol				0	no_zebrafish_ortholog
VGLL2	VGLL2	245806	official_symbol	vgll2a	556856	Ortholog	1	mapped
VPS54	VPS54	51542	official_symbol	vps54	562169	Ortholog	1	mapped
VRK3	VRK3	51231	official_symbol	vrk3	541443	Ortholog	1	mapped
WT1	WT1	7490	official_symbol	wt1a	30245	Ortholog	1	mapped
XK	XK	7504	official_symbol				0	no_zebrafish_ortholog
ZBTB18	ZBTB18	10472	official_symbol	zbtb18	100003157	Ortholog	1	mapped
WNT7A	WNT7A	7476	official_symbol	wnt7aa	565714	Ortholog	1	mapped
EZH2	EZH2	2146	official_symbol	ezh2	768133	Ortholog	1	mapped
FZD7	FZD7	8324	official_symbol				0	no_zebrafish_ortholog
IGF1	IGF1	3479	official_symbol	igf1	114433	Ortholog	1	mapped
ACTC1	ACTC1	70	official_symbol	actc1a	408256	Ortholog	1	mapped
PROX1	PROX1	5629	official_symbol	prox1a	30679	Ortholog	1	mapped
ANXA1	ANXA1	301	official_symbol	anxa1a	334724	Ortholog	1	mapped
EYS	EYS	346007	official_symbol	eys	557044	Ortholog	1	mapped
HDGFL2	HDGFL2	84717	official_symbol	hdgfl2	80965	Ortholog	1	mapped
IFRD1	IFRD1	3475	official_symbol				0	no_zebrafish_ortholog
TARBP2	TARBP2	6895	official_symbol	tarbp2	336141	Ortholog	1	mapped
MYH11	MYH11	4629	official_symbol	myh11b	566080	Ortholog	1	mapped
AARS2	AARS2	57505	official_symbol	aars2	792787	Ortholog	1	mapped
ACTN2	ACTN2	88	official_symbol				0	no_zebrafish_ortholog
ADGRG6	ADGRG6	57211	official_symbol	adgrg6	561970	Ortholog	1	mapped
AHCY	AHCY	191	official_symbol	ahcy	387530	Ortholog	1	mapped
AIFM1	AIFM1	9131	official_symbol	aifm1	373125	Ortholog	1	mapped
ALDOA	ALDOA	226	official_symbol	aldoaa	336425	Ortholog	1	mapped
ALG2	ALG2	85365	official_symbol	alg2	403068	Ortholog	1	mapped
ANO5	ANO5	203859	official_symbol	ano5a	100534737	Ortholog	1	mapped
ANXA11	ANXA11	311	official_symbol				0	no_zebrafish_ortholog
ASCC1	ASCC1	51008	official_symbol	ascc1	550273	Ortholog	1	mapped
CAVIN1	CAVIN1	284119	official_symbol	cavin1a	557070	Ortholog	1	mapped
CCDC174	CCDC174	51244	official_symbol	ccdc174	541361	Ortholog	1	mapped
CLCN6	CLCN6	1185	official_symbol	clcn6	568122	Ortholog	1	mapped
COL12A1	COL12A1	1303	official_symbol				0	no_zebrafish_ortholog
COL13A1	COL13A1	1305	official_symbol				0	no_zebrafish_ortholog
COL6A2	COL6A2	1292	official_symbol	col6a2	567771	Ortholog	1	mapped
COL6A3	COL6A3	1293	official_symbol	col6a3	556874	Ortholog	1	mapped
COQ7	COQ7	10229	official_symbol	coq7	559504	Ortholog	1	mapped
CRYAB	CRYAB	1410	official_symbol				0	no_zebrafish_ortholog
CTBP1	CTBP1	1487	official_symbol	ctbp1	678649	Ortholog	1	mapped
DNAJB6	DNAJB6	10049	official_symbol	dnajb6b	393275	Ortholog	1	mapped
DPM3	DPM3	54344	official_symbol	dpm3	393782	Ortholog	1	mapped
DTNA	DTNA	1837	official_symbol	dtna	794932	Ortholog	1	mapped
DYSF	DYSF	8291	official_symbol	dysf	560924	Ortholog	1	mapped
FDXR	FDXR	2232	official_symbol	fdxr	100536115	Ortholog	1	mapped
FHL1	FHL1	2273	official_symbol				0	no_zebrafish_ortholog
GARS1	GARS1	2617	official_symbol	gars1	337230	Ortholog	1	mapped
GIPC1	GIPC1	10755	official_symbol				0	no_zebrafish_ortholog
GNE	GNE	10020	official_symbol	gne	393857	Ortholog	1	mapped
HNRNPA1	HNRNPA1	3178	official_symbol				0	no_zebrafish_ortholog
HNRNPA2B1	HNRNPA2B1	3181	official_symbol				0	no_zebrafish_ortholog
HPDL	HPDL	84842	official_symbol	hpdl	560428	Ortholog	1	mapped
HSPB8	HSPB8	26353	official_symbol	hspb8	791580	Ortholog	1	mapped
ISCU	ISCU	23479	official_symbol	iscua	445238	Ortholog	1	mapped
ITGA7	ITGA7	3679	official_symbol	itga7	100006255	Ortholog	1	mapped
JAG2	JAG2	3714	official_symbol	jag2b	140422	Ortholog	1	mapped
KIF5A	KIF5A	3798	official_symbol	kif5ab	799274	Ortholog	1	mapped
KY	KY	339855	official_symbol	ky	795191	Ortholog	1	mapped
LAMA2	LAMA2	3908	official_symbol	lama2	100049705	Ortholog	1	mapped
LMNA	LMNA	4000	official_symbol	lmna	195815	Ortholog	1	mapped
LRP12	LRP12	29967	official_symbol	lrp12	100034487	Ortholog	1	mapped
LYRM4	LYRM4	57128	official_symbol	lyrm4b	103909737	Ortholog	1	mapped
MAP3K20	MAP3K20	51776	official_symbol	map3k20a	559247	Ortholog	1	mapped
MATR3	MATR3	9782	official_symbol				0	no_zebrafish_ortholog
MFN2	MFN2	9927	official_symbol	mfn2	567448	Ortholog	1	mapped
MICU1	MICU1	10367	official_symbol	micu1	561210	Ortholog	1	mapped
MIPEP	MIPEP	4285	official_symbol				0	no_zebrafish_ortholog
MLIP	MLIP	90523	official_symbol	mlip	492702	Ortholog	1	mapped
MSTO1	MSTO1	55154	official_symbol	msto1	334306	Ortholog	1	mapped
MYH2	MYH2	4620	official_symbol				0	no_zebrafish_ortholog
MYL1	MYL1	4632	official_symbol				0	no_zebrafish_ortholog
MYL2	MYL2	4633	official_symbol				0	no_zebrafish_ortholog
MYOT	MYOT	9499	official_symbol				0	no_zebrafish_ortholog
MYPN	MYPN	84665	official_symbol	mypn	571695	Ortholog	1	mapped
NDUFA4	COXFA4P1	360165	synonym				0	no_zebrafish_ortholog
NDUFA4	COXFA4	4697	synonym				0	no_zebrafish_ortholog
NEB	NEB	4703	official_symbol	neb	566928	Ortholog	1	mapped
NEFH	NEFH	4744	official_symbol				0	no_zebrafish_ortholog
NEK9	NEK9	91754	official_symbol	nek9	100334361	Ortholog	1	mapped
NOTCH2NLC	NOTCH2NLC	100996717	official_symbol				0	no_zebrafish_ortholog
OBSCN	OBSCN	84033	official_symbol	obscnb	572412	Ortholog	1	mapped
OPA1	OPA1	4976	official_symbol	opa1	492332	Ortholog	1	mapped
ORAI1	ORAI1	84876	official_symbol				0	no_zebrafish_ortholog
PFKM	PFKM	5213	official_symbol	pfkma	447836	Ortholog	1	mapped
POLG	POLG	5428	official_symbol	polg	100150924	Ortholog	1	mapped
